-183.036, 71.754, 2.371,  4.636
-183.030, 71.675, 2.378,  4.669
-183.024, 71.595, 2.386,  4.702
-183.018, 71.516, 2.393,  4.735
-183.012, 71.436, 2.401,  4.768
-183.006, 71.356, 2.408,  4.801
-183.000, 71.276, 2.416,  4.834
-182.994, 71.195, 2.423,  4.867
-182.988, 71.115, 2.431,  4.900
-182.982, 71.034, 2.439,  4.933
-182.977, 70.952, 2.447,  4.966
-182.971, 70.871, 2.455,  4.999
-182.965, 70.789, 2.463,  5.032
-182.959, 70.707, 2.470,  5.065
-182.953, 70.625, 2.478,  5.098
-182.948, 70.542, 2.486,  5.131
-182.942, 70.459, 2.494,  5.164
-182.936, 70.376, 2.502,  5.197
-182.931, 70.292, 2.510,  5.230
-182.925, 70.209, 2.518,  5.263
-182.920, 70.125, 2.526,  5.296
-182.914, 70.041, 2.534,  5.329
-182.908, 69.956, 2.543,  5.362
-182.903, 69.871, 2.551,  5.395
-182.897, 69.786, 2.559,  5.428
-182.892, 69.701, 2.567,  5.461
-182.886, 69.615, 2.575,  5.494
-182.881, 69.529, 2.584,  5.527
-182.875, 69.443, 2.592,  5.560
-182.870, 69.357, 2.600,  5.593
-182.865, 69.270, 2.609,  5.626
-182.859, 69.183, 2.617,  5.659
-182.854, 69.096, 2.626,  5.692
-182.849, 69.008, 2.634,  5.725
-182.843, 68.920, 2.643,  5.758
-182.838, 68.832, 2.651,  5.791
-182.833, 68.744, 2.660,  5.824
-182.828, 68.655, 2.669,  5.857
-182.822, 68.566, 2.677,  5.890
-182.817, 68.477, 2.686,  5.923
-182.812, 68.387, 2.695,  5.956
-182.807, 68.297, 2.704,  5.989
-182.802, 68.207, 2.712,  6.022
-182.797, 68.116, 2.721,  6.055
-182.792, 68.026, 2.730,  6.088
-182.787, 67.934, 2.739,  6.121
-182.782, 67.843, 2.748,  6.154
-182.777, 67.751, 2.757,  6.187
-182.772, 67.659, 2.766,  6.220
-182.767, 67.567, 2.775,  6.253
-182.762, 67.474, 2.784,  6.286
-182.757, 67.381, 2.793,  6.319
-182.752, 67.288, 2.803,  6.352
-182.747, 67.195, 2.812,  6.385
-182.742, 67.101, 2.821,  6.418
-182.737, 67.007, 2.830,  6.451
-182.733, 66.912, 2.840,  6.484
-182.728, 66.817, 2.849,  6.517
